Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
24-07-2017,136.7126151,136.9079199,134.7329492,134.8039703,5307400,0,0,2.764666104
25-07-2017,140.0416265,142.021292,138.9674502,141.2134552,9511400,0,0,-4.594190501
26-07-2017,140.9382662,141.1513296,138.2040124,138.9408417,4679000,0,0,2.536645279
27-07-2017,138.8609937,139.7576108,138.0797742,139.3314972,4624100,0,0,1.510016761
28-07-2017,138.80771,139.074036,137.6625257,138.3549652,3964500,0,0,2.011777694
31-07-2017,138.417064,138.860936,137.4671848,137.7246246,4272400,0,0,-1.998295931
01-08-2017,137.5826357,138.399359,136.4552099,136.7481537,4185100,0,0,0.410924876
02-08-2017,136.4995984,139.0651796,136.455222,139.0119171,3326000,0,0,0.100955701
03-08-2017,138.9852221,139.1716543,137.0765776,137.3517761,3666100,0,0,0.852310663
04-08-2017,137.2541533,137.4405855,136.0290617,136.5528412,4435400,0,0,-1.908018797
07-08-2017,136.8368707,137.9465508,136.7125871,137.5737,3252100,0,0,-0.910304051
08-08-2017,137.3074218,137.8223152,136.8014146,137.5293579,4234300,0,0,2.514207166
09-08-2017,137.8667051,138.2040388,137.0233507,137.5293579,3006500,0,0,-1.655463985
10-08-2017,137.0055395,139.5533606,136.9345184,139.0384674,3874500,0,0,-0.046190393
11-08-2017,139.2693456,140.6187074,139.0474095,139.6421967,2925000,0,0,-2.82572811
14-08-2017,139.7753478,140.17483,138.8964895,139.6066742,2809100,0,0,2.534996154
15-08-2017,140.1215438,140.7784794,139.6776717,139.926239,2160100,0,0,1.161791969
16-08-2017,140.165929,141.4886727,139.9084892,141.0625458,2921800,0,0,-0.111156811
17-08-2017,140.9293999,141.6218394,140.0949182,140.1659393,3071600,0,0,0.463173657
18-08-2017,140.2547586,140.5121986,139.3936454,140.0505676,2595700,0,0,2.712330742
21-08-2017,140.4145021,140.831743,139.8552189,140.5831757,2195100,0,0,-1.653857977
22-08-2017,140.7074697,141.9858237,140.6098173,141.7194977,2122600,0,0,2.124305503
23-08-2017,141.4176656,141.4798006,140.6009425,140.982666,2190700,0,0,-0.921149599
24-08-2017,141.248997,141.7550043,140.5565576,140.6275787,1634800,0,0,3.237952032
25-08-2017,141.0537122,141.4531945,140.7341237,140.9915771,2019600,0,0,0.529760395
28-08-2017,141.1868562,142.003593,140.8495226,141.7461395,2027300,0,0,-2.829595968
